Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		TT01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	38.34891617	0	0		0	22.370103	8.206935227	15.50565809	0	0	0	15.56838602	0
1		TT01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	33	31.71153069	0	0		0.004885322	10.88918522	1.331491303	1.4075079	0.360317784	0.656757969	23.23368341	23.46299738	6.941633672
3		TT01_02	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	111	42.89229512	0	0	35.12817621	0	0.267656683	0	0	13.51753771	2.671732195	5.522597209	0	0
5		TT01_02	PM10	17.65570161	4.741301243	16.75557369	1.26538814	636	53.4525454	0	1.372028701	35.41198373	0	0	1.005907357	2.510772273	2.605052851	3.342219815	0	0.299504003	0
4		TT01_02	PM10	11.28623964	3.790789709	12.87563716	1.168902608	513	41.3638711	0	0	46.57808542	0	0	7.790568471	1.350881625	0	0	0.17294042	2.743650414	0
7		TT01_02	PM10	6.816441761	2.946008012	11.71670725	1.602668	226	52.98733115	21.02766186	0		0.663465075	15.52458107	0.88208057	0.664583966	0	0	0	0	8.250296861
8		TT01_02	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	78	48.96301329	0	7.895960659		0	0.376009545	0	0	3.404230997	0	3.147523478	3.547913581	32.66534507
9		TT01_02	PM2.5	0.558724735	0.84343964	2.689154571	1.029968091	36	39.87390399	19.80690658	4.824841395		1.700656861	0.338382949	0.649170065	0	0	0.707363244	23.73767942	6.315153092	2.045945078
10		TT01_02	PM10	6.928186708	2.970057456	11.9792523	1.648276158	344	55.28914928	0	0	27.94611156	0.41998513	0.634751096	0.90983035	1.141249482	1.415217761	4.027565569	4.865433648	0	3.350705653
13		TT01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	25	36.89467609	13.62763792	0		0	0.020616	9.016302973	6.634674966	0	0	0	8.900342137	24.90574718
14		TT01_02	PM2.5	3.575838301	2.133752265	7.836770723	1.366742018	140	65.2616024	15.43501168	1.8223444		0	9.839637578	7.641407102	0	0	0	0	0	0
15		TT01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	67.18273163	29.39389944	0.105729885		0.043965393	0.079489633	0.286370213	0.307587255	0.346396421	0.394130731	0.481395796	0.604523718	0.773772877
16		TT01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	52	64.97001052	0	0.654131267		0.003502735	26.20890439	0.165496045	0	1.013740152	3.051330708	1.66242104	0	2.270467579
17		TT01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	5.748682842	34.71766114	10.51473022		0	0.070179335	8.320817351	25.90731382	14.72062171	0	0	0	0
18		TT01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	31	0	31.90644085	20.75842321		0.026334077	0.041514364	0.659285253	0	5.555275455	17.8963244	9.792075306	0	13.36431801
21		TT01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	46.5952903	20.34381032	0		0.01333449	18.85886341	9.116840363	4.105422273	0	0.966433622	0	0	0
19		TT01_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	47	43.5960561	16.18731022	0.259701093	27.93672085	0.465766294	0	1.326156501	3.556280211	0	0	0	2.341358177	4.330644384
23		TT01_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	68	56.83714151	0	0.361912115		2.453183942	16.7919293	0	1.491910685	0	0	11.00174785	11.06217429	0
26		TT01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	73.65804315	7.245509326	0		0.020658283	5.537593365	1.913123019	1.486275811	0.159388629	4.310921952	0	0	5.668481812
24		TT01_02	PM2.5	1.117449469	1.192803778	4.328128958	1.33402088	44	62.85766959	8.921881765	0		0.010405445	0	0	3.316629678	20.02270818	0	0	4.870704561	0
25		TT01_02	PM10	5.587247345	2.667190332	8.810053244	1.105475964	181	64.06639218	14.18254226	7.650020719		2.075190097	2.168822847	1.637400128	3.670356795	0	0	0.806139596	0	3.743136674
