Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
2		TT02_01	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	63	34.75224972	0			7.605362684		0	1.673147827		0	0	0	8.034443855	31.59060776	12.26086468	4.083325341
1		TT02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	19	0	51.50569677			11.00940183		0.041539196	34.63970423		0	0	0.863774773	0.319528719	0.385297439	0.62635853	0.608700374
4		TT02_01	PM2.5	2.793623673	1.88598837	6.044001009	1.040569974	111	41.40442908	0			3.757315502	37.59737015	3.380782902	1.281341445		0	2.066190913	3.384496644	0	7.128079981	0	0
6		TT02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	17	37.40153313	9.35126096			0.037265607		0.005804432	14.38042819		10.31816378	28.50554585	0	0	0	0	0
33		TT02_01	PM2.5	1.45268431	1.360005555	4.590674005	1.154441146	64	31.99940324	0			0		0.005627877	29.26391065		0	0	5.401977897	0	2.971067093	25.01467466	5.34334518
47		TT02_01	PM2.5	0.558724735	0.84343964	3.431744101	1.677343577	37	77.55593061	0			11.24334782		0	0.037383233		0	0.141576619	0.463146996	0.181027257	0.744495215	2.690768614	6.942323595
62		TT02_01	PM2.5	2.793623673	1.88598837	6.044001009	1.040569974	125	64.31424618	0			19.33911741		3.578274697	0		0	0	6.209680066	0	2.288551256	4.270129278	0
59		TT02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	46	47.36377001	0			0.464897323		0.060395646	0		4.828158021	16.66344106	14.56492841	16.05440825	0	0	0
60		TT02_01	PM2.5	2.011409044	1.600314199	6.120898673	1.482245422	84	80.09383082	0			2.925997786		5.922486261	9.834114462		0	0	0	0	1.223574951	0	0
64		TT02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	15	76.47025585	0			4.635752365		0.016237641	17.16993153		0.48441994	0.230576121	0.133652601	0.151497766	0.184003427	0.230129994	0.293550664
67		TT02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	27	28.64234447	3.018957004			0		0.18563699	23.90642464		0	0	27.97302008	0	4.985678196	7.01238513	4.275555536
68		TT02_01	PM2.5	3.911073142	2.231531534	9.552642774	1.856698014	126	56.10055923	2.577959746			3.059886023		0	5.402705446		0	0	2.0158967	5.466536805	2.77572535	11.23066396	11.370074
69		TT02_01	PM2.5	2.346643885	1.728536893	7.388578295	1.851248448	101	53.45730186	0			14.77529258		0.918575563	0.151015061		9.187567979	1.214300469	2.296913601	17.99903959	0	0	0
72		TT02_01	PM2.5	4.134563035	2.294403878	8.470610535	1.380988132	128	55.79782724	0			0		3.376502916	5.538931116		6.22073561	5.493535474	0	0	2.310992777	8.281476796	12.98000216
74		TT02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	25	28.09167802	27.1030277			0		0.00903531	0.014605948		0.05527148	1.087274496	0	0	0	9.009473026	34.62963998
