Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
6		TT02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	33	71.11370564	4.301370308	0.39943303		0	24.1854921		0	0	0	0	0	0	0	
1		TT02_02	PM10	6.034227133	2.771825501	12.16489968	1.951576349	250	25.91898739	0	1.544141956		0.406713039	2.987402491	41.22621715	0.601472985	5.736630782	5.981431156	0	6.222224981	0.734060677	8.6407125	
2		TT02_02	PM2.5	3.687583248	2.166835669	6.754738484	0.984612583	134	42.60839522	10.7978873	0		1.101847272	4.568549618		6.671605259	22.93438464	6.187729537	1.177222468	0	3.952376917	0	
5		TT02_02	PM10	14.63858804	4.317224708	14.06641912	1.07561798	412	54.96126413	3.657710552	0		0.056522951	35.49947441		0.221676286	3.715276718	0.500894617	0.191212643	0	1.195962075	0	
3		TT02_02	PM10	38.44026174	6.995974653	25.1174345	1.30603362	1474	49.98159409	0	2.480414882	38.43700886	0.110347918	0.225299201		2.852105908	0	0	1.490307413	0	0.839838013	3.583080694	
7		TT02_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	46	4.279244691	19.52601075	7.491777092		0	0		2.845933102	1.399267651	0	0	0	7.011263072	57.44649768	
8		TT02_02	PM10	22.12549949	5.307641745	30.15630094	3.270793977	768	32.24651515	1.42091997	0		0.877231918	0.375181879	46.51693702	0	0	0	0.62402836	3.772369027	5.141527578	9.025288373	
10		TT02_02	PM10	15.86778246	4.494829042	16.30738126	1.33365147	457	63.39898109	4.826469719	9.71295312	16.88620001	0	0		0	0	0	1.444825437	0	0	3.730573133	
11		TT02_02	PM10	10.39228006	3.637562637	16.12173388	1.990227807	318	55.42779565	10.76094732	0		0	4.356465861		0.468728039	6.914065033	0	0	0	15.20468146	6.867323071	
12		TT02_02	PM2.5	3.464093354	2.100147767	6.754738484	1.048135976	105	31.38491213	45.49449086	1.815286279		5.22826314	0.779244211		0.797902048	10.85119545	0	0	0	3.648703918	0	
13		TT02_02	PM10	11.50972953	3.828138293	19.25908088	2.564461194	387	35.77575386	2.331610583	0		2.073566057	1.305391919	58.51367116	0	0	0	0	0	0	0	
14		TT02_02	PM2.5	1.45268431	1.360005555	4.513776341	1.116089345	62	66.18246436	0	0.064569997		2.712758072	0		1.819096133	0	0	0	0	12.2188963	17.00221896	
