Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
7		TT02_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	52	69.71350312	11.61833555			17.53372252		0		0.02781144		0.099620887	0.106873002	0.120328367	0.136719353	0.166659907	0.20905782	0.267370185
10		TT02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	31	80.48222661	6.424898654			8.772024512		3.198423609		0		0.110228255	0.118260819	0	0	0	0.893944409	0
9		TT02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	0	64.57691193			0		0.05885078		27.63524652		0	0	0	0	0	7.728987932	0
8		TT02_03	PM10	34.86442343	6.662639313	27.0958516	1.675765552	1256	52.61266232	0			3.420020267	33.17309022	0.419889484		0.689952169	9.564132243	0.120253977	0	0	0	0	0	0
6		TT02_03	PM2.5	1.78791915	1.508790696	5.147616152	1.179382202	112	40.33193886	23.84083718			1.540637016		2.229114994		5.658125132		0	0	0	1.207859255	0	18.12641919	7.065066695
11		TT02_03	PM10	37.76979205	6.934694863	25.04053684	1.32109124	984	58.00289512	0			0.729148509		0.039250418		31.93149269		2.184130996	1.585538685	0	0	2.871600725	0.617218437	2.038722858
14		TT02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	0	0			0		0.020947852		99.97905493		0	0	0	0	0	0	0
20		TT02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	28.76605093	9.954180568			6.448679417		0.075557176		0		0	0	0	52.09903121	2.656508237	0	0
18		TT02_03	PM2.5	0.782214628	0.997971241	4.142481576	1.745763357	61	54.39183712	34.18670595			7.587872446		0.705717597		0.152198283		0	0	0	0	0.429742085	2.54592374	0
21		TT02_03	PM10	32.96475934	6.478582806	31.56458233	2.405139775	1281	46.9643712	0	8.497858793		15.92835486	19.71636415	0.288782269		0		0	0.021902703	2.056503296	1.882092282	0	4.643763602	0
24		TT02_03	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	80	48.29515219	24.81730282			4.859166965		0		14.45690989		0	0	0	0	0	7.571467757	0
