Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
1		WN02_03	PM2.5	0.558724735	0.84343964	3.431744101	1.677343577	33	61.87703013	0	20.09484768		0.60930592	0.156007055	10.41090935	6.851898134	0	0	0	0	0
4		WN02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	24	0	19.65911686	0		0.323403301	0.498290313	18.32970977	61.1894846	0	0	0	0	0
3		WN02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	24	40.98758399	0	0.626185536		0.00811113	0.017051343	38.95590007	15.52593708	0	3.879230842	0	0	0
5		WN02_03	PM2.5	3.911073142	2.231531534	7.388578295	1.110749069	135	49.73070323	16.26523733	9.653651714		0.84527554	0	3.946275637	19.55885589	0	0	0	0	0
6		WN02_03	PM2.5	0.670469681	0.923941834	3.246096719	1.250644575	33	35.22753119	8.140972257	12.05582693		0.031628652	0	25.06779432	0	0	13.23616058	5.858233571	0.381852104	0
7		WN02_03	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	76	14.29088414	0	0		3.474830836	0	0	0	0	0	0	10.50669104	71.72759175
9		WN02_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	58	11.4553161	9.778556973	1.80472061		4.521883652	0	0.960674975	2.384401485	1.100237202	0	0	28.48140299	39.51280713
11		WN02_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	26	38.38051856	0	25.69301128		2.366830222	15.74941725	5.542460829	2.777432464	1.689863019	7.800473273	0	0	0
17		WN02_03	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	48	42.38148332	0	0.018804875		0.488399481	19.21693534	27.18580067	10.70856601	0	0	0	0	0
18		WN02_03	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	24	93.08049679	0	0		2.272222564	0.460977573	0.462483941	3.723816946	0	0	0	0	0
23		WN02_03	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	40	0	28.88140678	0		0.085103867	0.759346876	0	16.58611745	33.4651649	0	20.22285312	0	0
19		WN02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	63.26913238	0	16.32425338		11.60736233	5.347405374	0	0	0	0	0	3.451856226	0
