Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
3		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	15	64.64053392	0			32.88521469		0.034852597	0.060525077	0.214882125	0.23031137	0.259037106	0.294135511	0.358146499	0.44882684	0.57353205
8		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	2	75.80826879	0			0		0.341368001	0.591161242	2.090708911	2.244496718	2.518962882	2.868004888	3.504452109	4.401888326	5.630689859
2		WN03_01	PM2.5	0.993288417	1.124586187	3.48300921	0.971905435	30	32.13762939	0			10.80588922		0	50.1781702	0	0	0	0	0	6.878311187	0
5		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	12	0	3.598018736			7.512851059		0	0.241141487	0	21.02124244	51.16203427	2.993415482	0	13.47128749	0
4		WN03_01	PM2.5	0.794630734	1.005860464	2.885419306	0.83376305	18	96.79343104	0			0		0.050356059	0.076353532	0.275787758	0.296323886	0.333792577	0.379909412	0.464245956	0.583167979	0.746635348
1		WN03_01	PM2.5	0.794630734	1.005860464	2.885419306	0.83376305	18	20.45585662	39.10378516			15.43665826		0	0.027871059	1.148630772	3.22701931	0	0	0	20.60018331	0
7		WN03_01	PM2.5	1.986576834	1.590405038	6.966018421	1.94381087	66	0	0			31.42372668		39.1720444	7.998558134	1.999068819	2.123451792	2.366651781	2.667832002	3.209768236	3.986916691	5.051987618
6		WN03_01	PM10	5.562415135	2.661256642	8.656257917	1.071981064	110	64.20282125	0			0.204645935		5.048526451	13.37515414	0	9.509270638	7.659573853	0	0	0	0
10		WN03_01	PM2.5	0.59597305	0.871100715	2.637889462	0.929130466	17	0	0			0.232456299		7.125087082	12.24091351	0	2.021714486	0	0	12.46649027	0	65.91334343
15		WN03_01	PM2.5	0.198657683	0.502930232	1.19517981	0.572204495	14	0	0			0		0.017321268	17.61535108	0	0	0	0	0	19.40707266	62.96026111
11		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	14	21.26959413	0			0.024115876		0.01261702	0.020300108	47.95795977	26.75583661	0	3.959582001	0	0	0
9		WN03_01	PM2.5	4.767784401	2.46384489	8.656257917	1.250644575	103	36.1048013	0			1.83504764		0.120850338	0	15.7028541	11.20787561	17.31491536	7.436913252	5.819221213	2.74567958	1.711833291
13		WN03_01	PM2.5	0.397315367	0.711250755	2.040299558	0.83376305	32	26.3232708	50.49370527			0		0.008297869	10.25230363	0	0	1.31603945	0	2.051735669	7.561075687	1.993564516
12		WN03_01	PM2.5	4.569126718	2.411968661	8.16119823	1.160018156	143	35.29295623	0			2.280670032	33.29822421	0	1.798644103	5.722390488	3.139961511	0.387634174	16.6033119	0	1.476207003	0
14		WN03_01	PM2.5	2.383892201	1.742201429	5.42077855	0.980904789	56	25.03384352	15.68943113			0.005482679		0.800835248	24.41228032	0	0	17.86716729	9.944400191	5.292182416	0.954375137	0
