Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
4		WN03_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	38	4.116383567	2.144282311		1.500479318		0.008211057		0.012030843	2.7013788	4.835701734	31.79777265	9.086538106	5.053633824	9.731160849	29.01243269
2		WN03_03	PM2.5	4.246307982	2.325202624	7.836770723	1.150940647	166	52.46426463	6.13543205		0.975938328		0.547848642		26.51963532	0	0	0	0	13.35687488	0	0
1		WN03_03	PM2.5	1.564429257	1.411344463	5.93525129	1.791894469	80	62.4583602	10.01598984		0		9.351886809		16.92299992	0.165086298	0.116584916	0.130835793	0.148182467	0.179669354	0.224417611	0.285992096
3		WN03_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	24	0	7.064324617		0.208972674		0.023081272		0.034594367	28.90042663	59.92164612	0	0	0	3.846966848	0
5		WN03_03	PM2.5	4.69328777	2.444520318	9.366995392	1.487693842	167	79.64863181	18.64579171		1.70556847		0		0	0	0	0	0	0	0	0
6		WN03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	20	0	0		10.79010367		0.074617495		0.106870709	0.616035238	0	0	0	0	34.40158665	54.01079059
7		WN03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	16	5.723686516	67.77153611		23.67753088		0.036802873		0	0.451828586	0	0	0.833322573	0.43371995	0.470397435	0.601179898
9		WN03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	0	3.583670408		12.62811273		28.97325754		0.066003081	0	0	0	0	54.74895239	0	0
11		WN03_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	55	34.86441374	0		1.413687039		6.002790853		5.002623051	0	0.078507914	1.037355047	0.278423144	3.871702775	0	47.45049179
12		WN03_03	PM2.5	1.676174204	1.46088031	4.513776341	0.967277432	69	32.25303888	2.853363194		3.876583651		0.961468089		5.067481473	1.126075443	0	0	0	0	28.02388072	25.83810687
8		WN03_03	PM10	18.21442635	4.815737525	16.83247135	1.237856798	583	51.88960433	2.577918768		21.27966732	20.83425969	0.176942209		0	0	0.696738204	1.58152096	0.139403658	0	0	0.823953189
14		WN03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	85.71321368	0		0		0.055613287		0	9.010001272	2.940209955	0	0.70935702	0.601882255	0	0.969718583
17		WN03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	27	27.94998586	0		0		0.053925422		0	0.267204689	0	0	0	0	27.84098983	43.88789535
16		WN03_03	PM2.5	2.681878726	1.847883667	6.229648392	1.151537463	108	26.60752535	30.90394139		0		4.12549004		0.102497241	0	0	5.836199969	25.7929951	0	0	6.631343067
15		WN03_03	PM2.5	2.123153991	1.644166543	6.120898673	1.404232505	91	40.81134796	0		0.139262015		0		0.008945067	1.657113247	6.045244634	24.11642224	12.89049238	8.514498174	2.791201323	3.025468811
18		WN03_03	PM10	5.475502398	2.640383718	9.027552682	1.184421345	177	40.57023227	8.884370327		7.262765616		0		0	2.354985662	33.30048323	0	0	0	7.627160102	0
20		WN03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	8	92.69595146	0		1.400296669		0.078371726		0.141472649	0.509126484	0.547027495	0.615783082	0.701057306	0.856872462	1.076288428	1.377751119
23		WN03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	32	39.32948411	11.13557741		0		0.043990026		0.024285058	14.52782601	25.18327832	0	0	4.833995923	3.361700475	1.559867524
22		WN03_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	40	37.04701364	0		0.213165022		0.161033508		0	22.79452533	35.28552651	0	2.009755	0	2.488994971	0
24		WN03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	0	76.08661056		1.396868471		0.326554291		0.555316592	1.951423846	2.092663758	2.347432822	2.669912949	3.257795796	4.088717699	5.226713419
