doy,date,time,rh,temp,pressure,net_rad,par,wind_speed,wind_direction,precipitation
152,2022-06-01,01:00:00,94.2,9.29,1012,NA,0.032,0.079,233.4,NA
152,2022-06-01,01:30:00,94.7,9.26,1012,NA,0.023,0.129,176.1,NA
152,2022-06-01,02:00:00,95,9.26,1012,NA,0.025,0.128,192.7,NA
152,2022-06-01,02:30:00,95.4,9.17,1012,NA,0.03,0.096,154.5,NA
152,2022-06-01,03:00:00,95.6,9.06,1012,NA,0.029,0.1,179.6,NA
152,2022-06-01,03:30:00,95.8,9.07,1012,NA,0.037,0.044,173.5,NA
152,2022-06-01,04:00:00,96,9.07,1012,NA,0.029,0.125,177.6,NA
152,2022-06-01,04:30:00,96.1,8.89,1012,NA,0.113,0.091,224.7,NA
152,2022-06-01,05:00:00,96.3,8.59,1012,NA,2.375,0.096,186.6,NA
152,2022-06-01,05:30:00,96.5,8.53,1013,NA,11.93,0.18,231.2,NA
152,2022-06-01,06:00:00,96.4,8.27,1013,NA,27.74,0.069,245,NA
152,2022-06-01,06:30:00,96.6,8.12,1013,NA,42.53,0.116,159.1,NA
152,2022-06-01,07:00:00,96.7,8.4,1013,NA,70.2,0.237,138.8,NA
152,2022-06-01,07:30:00,96.5,8.7,1013,NA,63.16,0.125,170.5,NA
152,2022-06-01,08:00:00,96.2,8.98,1014,NA,98.6,0.169,187.7,NA
152,2022-06-01,08:30:00,95.6,9.27,1014,NA,93.3,0.13,185.8,NA
152,2022-06-01,09:00:00,94.3,10,1014,NA,206.6,0.132,196.8,NA
152,2022-06-01,09:30:00,91,10.64,1014,NA,243.9,0.169,188.6,NA
152,2022-06-01,10:00:00,85.7,11.44,1014,NA,296.5,0.14,178.9,NA
152,2022-06-01,10:30:00,81.7,11.71,1014,NA,485.7,0.293,190.6,NA
152,2022-06-01,11:00:00,74.1,12.79,1014,NA,467.6,0.282,176.8,NA
152,2022-06-01,11:30:00,70.9,13.57,1015,NA,747,0.141,182,NA
152,2022-06-01,12:00:00,64.64,14.55,1015,NA,582.5,0.268,221.3,NA
152,2022-06-01,12:30:00,65.09,15.2,1015,NA,992,0.084,222.4,NA
152,2022-06-01,13:00:00,60.29,16.89,1015,NA,1508,0.21,197.4,NA
152,2022-06-01,13:30:00,60.2,16.97,1015,NA,1461,0.197,217.7,NA
152,2022-06-01,14:00:00,59.79,16.89,1015,NA,1454,0.196,199.7,NA
152,2022-06-01,14:30:00,59.34,16.97,1015,NA,1430,0.188,179,NA
152,2022-06-01,15:00:00,57.53,17.04,1015,NA,1384,0.238,191.3,NA
152,2022-06-01,15:30:00,52.35,17.21,1015,NA,1308,0.221,185,NA
152,2022-06-01,16:00:00,51.02,17.47,1015,NA,1115,0.189,227.3,NA
152,2022-06-01,16:30:00,47.1,17.59,1015,NA,1049,0.172,191.7,NA
152,2022-06-01,17:00:00,46.12,17.73,1015,NA,925,0.103,178,NA
152,2022-06-01,17:30:00,49.92,17.26,1015,NA,820,0.21,231.7,NA
152,2022-06-01,18:00:00,53.4,16.46,1015,NA,191.5,0.089,166.8,NA
152,2022-06-01,18:30:00,53.75,15.93,1015,NA,95.5,0.071,206.2,NA
152,2022-06-01,19:00:00,54.64,15.42,1015,NA,99,0.028,146.9,NA
152,2022-06-01,19:30:00,55.23,15.18,1015,NA,73.3,0.034,235.5,NA
152,2022-06-01,20:00:00,58.53,14.49,1015,NA,56.47,0.012,327.8,NA
152,2022-06-01,20:30:00,61.86,13.98,1015,NA,43.18,0.003,143.9,NA
152,2022-06-01,21:00:00,65.8,13.2,1015,NA,27.1,0,85.2,NA
152,2022-06-01,21:30:00,68.93,12,1016,NA,10.96,0,79.6,NA
152,2022-06-01,22:00:00,70.6,10.94,1016,NA,1.926,0,79.6,NA
