record_no,light,dur__sec_,date,time,tree_species,scaled,scale,offset,t_for_fm,area,fo,fm,fv,f1,f2,f3,f4,f5,fo_fm,fv_fm,pi_inst_,fv_fo,vj,vi,dvg_dto,dv_dto,sm,n,sm_t_fm_,abs_rc,dio_rc,tro_rc,eto_rc,reo_rc,phi_po_,psi_eo_,phi_eo_,delta_ro_,phi_ro_,abs_cso,dio_cso,tro_cso,eto_cso,reo_cso,abs_csm,dio_csm,tro_csm,eto_csm,reo_csm,gamma_rc____1_gamma_rc__,phi_po____1_phi_po__,psi_eo___1_psi_eo__,pi_abs,dro__1_dro_,pi_total,df_abs,df_total,kp___abs___kf,kn___abs___kf,origin_to_f1,f1_to_f3,f1_to_f4,f1_to_f5,f3_to_f4,f4_to_f5,f5_to_fm
1,3500,1,27/06/2023,08:37:25,Magnolia grandiflora, NO,-,-,800,1003680,5959,36334,30375,6341,6746,8407,18948,28382,0.164,0.836,7.5661,5.097,0.4276,0.7382,0.1333,0.2686,33.043,20.7584,0.0413,0.7515,0.1232,0.6282,0.3596,0.164,0.836,0.5724,0.4785,0.4574,0.2189,5959,977.3127,4981.68726,2851.41119,1304.17702,36334,5959,30375,17386,7952,1.3307,5.097,1.3385,9.079,0.8429,7.6531,0.9581,0.8838,1e-4,0,1206,7249,43820,362344,36571,318524,640130
2,3500,1,27/06/2023,08:37:37,Magnolia grandiflora, NO,-,-,900,1529999,5832,32473,26641,6101,6358,7403,12561,22766,0.1796,0.82,11.8752,4.568,0.2526,0.6356,0.0965,0.1966,57.4302,44.693600000000004,0.0638,0.9486,0.1704,0.7782,0.5817,0.284,0.8204,0.7474,0.6132,0.4875,0.2989,5832,1047.40012,4784.59988,3576.10273,1743.33212,32473,5832,26641,19912,9707,1.0542,4.568,2.9591,14.25,0.9512,13.5548,1.1538,1.1321,1e-4,0,1060,6426,43871,424599,37445,380727,1104340
3,3500,1,27/06/2023,08:37:46,Magnolia grandiflora, NO,-,-,700,1151124,6066,30815,24749,6490,6874,8501,15229,23561,0.1969,0.803,5.2436,4.08,0.3702,0.7069,0.1552,0.328,46.5119,41.2007,0.0664,1.1029,0.2171,0.8858,0.5578,0.26,0.8031,0.6298,0.5058,0.4654,0.2354,6066,1194.10534,4871.89466,3068.13811,1427.96573,30815,6066,24749,15586,7254,0.9067,4.08,1.701,6.292,0.8706,5.4782,0.7988,0.7386,1e-4,0,981,5831,36566,318824,30734,282258,831320
4,3500,1,27/06/2023,08:37:58,Magnolia grandiflora, NO,-,-,700,1150469,6697,34538,27841,7109,7514,9247,16619,26234,0.1939,0.806,5.8872,4.157,0.3564,0.7017,0.1455,0.3053,41.3228,35.4005,0.059,1.0628,0.2061,0.8567,0.5514,0.256,0.8061,0.6436,0.5188,0.4634,0.2404,6697,1298.56416,5398.43584,3474.53654,1610.16527,34538,6697,27841,17919,8304,0.941,4.157,1.806,7.065,0.8637,6.1013,0.8491,0.7854,1e-4,0,1104,6594,41669,365974,35075,324305,783390
5,3500,1,27/06/2023,08:38:09,Magnolia grandiflora, NO,-,-,800,1111916,5866,33004,27138,6263,6644,8335,17301,25933,0.1777,0.822,6.0485,4.626,0.4214,0.7394,0.1404,0.3033,40.9727,29.4889,0.0512,0.8753,0.1556,0.7197,0.4165,0.188,0.8223,0.5786,0.4758,0.4503,0.2142,5866,1042.59956,4823.40044,2790.98891,1256.77148,33004,5866,27138,15703,7071,1.1425,4.626,1.3732,7.258,0.8192,5.9456,0.8608,0.7742,1e-4,0,1076,6431,38797,328005,32365,289209,782835
6,3500,1,27/06/2023,08:38:29,Magnolia grandiflora, NO,-,-,600,656122,6261,43530,37269,6854,7415,10179,25081,38597,0.1438,0.856,5.9995,5.953,0.505,0.8676,0.1505,0.3504,17.605,12.2169,0.0293,0.8105,0.1166,0.6939,0.3435,0.092,0.8562,0.495,0.4238,0.2674,0.1133,6261,900.5312,5360.46885,2653.55362,709.5225,43530,6261,37269,18449,4933,1.2338,5.953,0.9803,7.199,0.365,2.6276,0.8573,0.4196,1e-4,0,1476,8778,49122,348092,40343,298970,306555
7,3500,1,27/06/2023,08:38:37,Magnolia grandiflora, NO,-,-,800,1201032,6701,40107,33406,7136,7579,9396,18067,31919,0.1671,0.833,8.4895,4.985,0.3402,0.7549,0.1326,0.2689,35.9526,28.4158,0.0449,0.9489,0.1585,0.7904,0.5215,0.194,0.8329,0.6598,0.5495,0.3715,0.2042,6701,1119.59012,5581.40988,3682.40058,1368.03521,40107,6701,33406,22040,8188,1.0538,4.985,1.9391,10.187,0.5911,6.0218,1.0081,0.7797,1e-4,0,1326,7960,51150,429750,43190,378600,769955
8,3500,1,27/06/2023,08:38:53,Magnolia grandiflora, NO,-,-,700,793422,5893,37258,31365,6393,6862,9065,20360,32183,0.1582,0.842,5.9673,5.322,0.4612,0.8382,0.1495,0.3371,25.2964,18.4881,0.0361,0.8682,0.1373,0.7309,0.3938,0.118,0.8418,0.5388,0.4535,0.3003,0.1362,5893,932.0803,4960.91967,2672.71228,802.6994,37258,5893,31365,16898,5075,1.1518,5.322,1.168,7.161,0.4292,3.0737,0.855,0.4877,1e-4,0,1242,7395,43081,317835,35686,274754,474345
9,3500,1,27/06/2023,08:39:02,Magnolia grandiflora, NO,-,-,900,1157387,6920,41583,34663,7353,7791,9543,17406,33829,0.1664,0.834,9.6218,5.009,0.3025,0.7763,0.1264,0.2522,33.3897,27.8407,0.0371,1.0003,0.1665,0.8338,0.5816,0.187,0.8336,0.6975,0.5814,0.3207,0.1865,6920,1151.58598,5768.41402,4023.39514,1290.37539,41583,6920,34663,24177,7754,0.9997,5.009,2.3056,11.546,0.4721,5.4514,1.0624,0.7365,1e-4,0,1377,8281,54614,449630,46334,395016,706380
10,3500,1,27/06/2023,08:39:13,Magnolia grandiflora, NO,-,-,600,817619,6866,45134,38268,7562,8222,11376,25829,39883,0.1521,0.848,5.057,5.574,0.4955,0.8628,0.1725,0.3928,21.3656,16.9381,0.0356,0.935,0.1422,0.7928,0.3999,0.109,0.8479,0.5045,0.4277,0.272,0.1163,6866,1044.48877,5821.51123,2936.76895,798.8072,45134,6866,38268,19305,5251,1.0695,5.574,1.018,6.068,0.3736,2.2674,0.7831,0.3555,1e-4,0,1513,8943,50254,354211,41311,303957,461895
