leaf_id,tree_species,date,time,gs,temp,sensor_serial_number,sensor_cal_number,leaf_sensor_rh,filter_sensor_rh,leaf_orientation,leaf_sun_exposure,notes
MG01,Magnolia grandiflora,2023-06-26,08:59:32,194.2,18.8,LPS1782,2403809,47.8,22.6,S,Sun,Breezy
MG02,Magnolia grandiflora,2023-06-26,09:08:41,219.2,18,LPS1782,2403809,49,22.7,W,Sun,Breezy
MG03,Magnolia grandiflora,2023-06-26,09:16:26,166.7,17.8,LPS1782,2403809,43.7,19.5,W,Sun Flecks,Breezy
AM01,Acacia melanoxylon,2023-06-26,09:25:47,121.9,18.2,LPS1782,2403809,39.4,18.5,NW,Sun Flecks,Breezy
AM02,Acacia melanoxylon,2023-06-26,09:33:25,65.5,17.5,LPS1782,2403809,27.3,11.9,SW,Sun,Breezy
AM03,Acacia melanoxylon,2023-06-26,09:44:04,127.8,17.2,LPS1782,2403809,38.3,16.7,NE,Sun Flecks,Breezy
CM01,Crataegus monogyna,2023-06-26,09:51:06,183.4,17.3,LPS1782,2403809,45.7,21,E,Sun Flecks,Small Breeze
CM02,Crataegus monogyna,2023-06-26,10:00:02,125.3,17.8,LPS1782,2403809,38.6,17,NE,Sun,Small Breeze
CM03,Crataegus monogyna,2023-06-26,10:09:48,144.9,17.6,LPS1782,2403809,41.1,18.3,E,Sun Flecks,Small Breeze
AG01,Alnus glutinosa,2023-06-26,10:16:10,174.5,17.7,LPS1782,2403809,44.1,19.4,E,Sun Flecks,Breezy
AG02,Alnus glutinosa,2023-06-26,10:23:44,152.2,17.8,LPS1782,2403809,41.7,18.2,NE,Sun Flecks,Breezy
AG03,Alnus glutinosa,2023-06-26,10:30:43,205.9,17.7,LPS1782,2403809,46.7,20.4,N,Sun Flecks,Breezy
CA01,Corylus avellana,2023-06-26,10:41:10,185.5,18.7,LPS1782,2403809,45.8,20.4,SE,Sun Flecks,Breezy
CA02,Corylus avellana,2023-06-26,10:47:02,283.3,19.4,LPS1782,2403809,52.9,23.8,S,Sun Flecks,Breezy
CA03,Corylus avellana,2023-06-26,10:55:20,140.7,20.3,LPS1782,2403809,41.9,18.7,SE,Sun Flecks,Breezy
SF01,Salix x fragilis,2023-06-26,11:00:53,330.6,20.3,LPS1782,2403809,55.6,25.2,SE,Sun,Breezy
SF02,Salix x fragilis,2023-06-26,11:07:59,389.5,19.6,LPS1782,2403809,57.7,26.1,N,Sun Flecks,Breezy
SF03,Salix x fragilis,2023-06-26,11:15:59,389.6,19.3,LPS1782,2403809,57.5,26,SE,Sun Flecks,Breezy
BU01,Betula utilis var. jacquemontii 'Trinity College',2023-06-26,11:22:48,160,19.2,LPS1782,2403809,44,20,E,Sun Flecks,Breezy
BU02,Betula utilis var. jacquemontii 'Trinity College',2023-06-26,11:29:43,109.5,19.3,LPS1782,2403809,37.4,16.9,E,Sun Flecks,Breezy
BU03,Betula utilis var. jacquemontii 'Trinity College',2023-06-26,11:34:29,129.4,19.3,LPS1782,2403809,39.5,17,E,Sun Flecks,"Breezy,Rained"
GB01,Ginkgo biloba,2023-06-26,12:39:20,152.1,20.7,LPS1782,2104005,45.5,21.8,SE,Overcast,"Breezy,Dried leaf"
GB02,Ginkgo biloba,2023-06-26,12:44:51,144.9,20.5,LPS1782,2104005,44,20.4,S,Overcast,"Small Breeze,Dried leaf"
GB03,Ginkgo biloba,2023-06-26,12:50:17,222,20.1,LPS1782,2104005,51.2,24,SE,Overcast,"Small Breeze,Dried leaf"
QR01,Quercus robur,2023-06-26,12:57:04,304.5,19.2,LPS1782,2104005,55.6,26.1,NW,Overcast,"Small Breeze,Dried leaf"
QR02,Quercus robur,2023-06-26,13:02:30,266,18.6,LPS1782,2104005,53.2,24.8,NW,Overcast,"Small Breeze,Dried leaf"
QR03,Quercus robur,2023-06-26,13:09:03,347.9,18.5,LPS1782,2104005,57.2,26.9,NE,Overcast,"Small Breeze,Dried leaf"
AU01,Arbutus unedo,2023-06-26,13:17:52,224.8,19.4,LPS1782,2104005,51.3,24.3,E,Sun,Small Breeze
AU02,Arbutus unedo,2023-06-26,13:24:09,199.8,20.4,LPS1782,2104005,49.8,23.7,NE,Sun Flecks,Small Breeze
AU03,Arbutus unedo,2023-06-26,13:29:55,192.6,20.5,LPS1782,2104005,48.9,22.9,E,Sun,Small Breeze
AI01,Aesculus indica,2023-06-26,13:34:34,269.1,20.6,LPS1782,2104005,54.6,26.3,SE,Sun Flecks,Still
AI02,Aesculus indica,2023-06-26,13:39:29,103.7,20.3,LPS1782,2104005,38.6,18.2,E,Sun Flecks,Still
AI03,Aesculus indica,2023-06-26,13:44:38,267.9,21,LPS1782,2104005,54.3,25.9,SE,Sun,Small Breeze
JN01,Juglans nigra,2023-06-26,13:50:27,109.7,20.2,LPS1782,2104005,39.5,18.6,NE,Sun,Small Breeze
JN02,Juglans nigra,2023-06-26,13:57:34,108.3,19.9,LPS1782,2104005,39.2,18.3,N,Sun Flecks,Small Breeze
JN03,Juglans nigra,2023-06-26,14:04:21,114.2,19.7,LPS1782,2104005,40.8,19.9,SE,Sun Flecks,Small Breeze
DI01,Davidia involucrata var. vilmoriniana,2023-06-26,14:09:14,118.8,21.6,LPS1782,2104005,41.1,19.6,S,Sun,Small Breeze
DI02,Davidia involucrata var. vilmoriniana,2023-06-26,14:13:25,129.5,22.3,LPS1782,2104005,42.8,20.6,S,Sun Flecks,Small Breeze
DI03,Davidia involucrata var. vilmoriniana,2023-06-26,14:20:56,141.5,23.6,LPS1782,2104005,44.3,21.4,S,Sun,Small Breeze
MG01,Magnolia grandiflora,2023-06-27,10:34:59,183.6,22.1,LPS2225,2103911,50.4,26.5,S,Overcast,"Small Breeze,Started 10:36 due to porometer problems"
MG02,Magnolia grandiflora,2023-06-27,10:41:38,140.1,20.9,LPS2225,2103911,45.9,24,W,Overcast,Breezy
MG03,Magnolia grandiflora,2023-06-27,10:45:28,107.6,20.5,LPS2225,2103911,41.1,21.3,W,Overcast,Breezy
AM01,Acacia melanoxylon,2023-06-27,10:50:25,116.6,20.4,LPS2225,2103911,43.2,23,NW,Overcast,"Breezy,Leaf fell off so a new nearby leaf was chosen"
AM02,Acacia melanoxylon,2023-06-27,10:55:26,65.4,20.2,LPS2225,2103911,32.5,17.1,SW,Overcast,Breezy
AM03,Acacia melanoxylon,2023-06-27,11:00:38,73.7,20.3,LPS2225,2103911,34.2,17.7,NE,Overcast,Breezy
CM01,Crataegus monogyna,2023-06-27,11:04:13,137.8,20.6,LPS2225,2103911,45.3,23.5,E,Overcast,Breezy
CM02,Crataegus monogyna,2023-06-27,11:08:09,89.2,20.8,LPS2225,2103911,38.1,20.1,NE,Overcast,Breezy
CM03,Crataegus monogyna,2023-06-27,11:11:22,77.2,20.8,LPS2225,2103911,35.3,18.5,E,Overcast,Breezy
AG01,Alnus glutinosa,2023-06-27,11:14:03,152.8,20.8,LPS2225,2103911,46.7,23.9,E,Overcast,Breezy
AG02,Alnus glutinosa,2023-06-27,11:17:21,106.1,20.8,LPS2225,2103911,41,21.5,NE,Overcast,Breezy
AG03,Alnus glutinosa,2023-06-27,11:20:21,192.4,20.9,LPS2225,2103911,50.4,25.6,N,Overcast,Breezy
CA01,Corylus avellana,2023-06-27,11:24:28,163.1,20.9,LPS2225,2103911,47.4,23.9,SE,Overcast,Small Breeze
