specimen_specie,leaf_id,lat,lon,date,time,gs,temp,sensor_serial_number,sensor_cal_number,leaf_sensor_rh,filter_sensor_rh,environment_rh,environment_temp,leaf_orientation,leaf_par,leaf_sun_exposure,leaf_appearance,notes
Magnolia grandiflora,MG01,53.3125,-6.25966666666667,2022-08-12,09:18:03,172.5,22.1,LPS2225,2303604,45.1,21,70,21,W,40.0,Full sun,Healthy,"Moved leaf horizontally,PAR retaken at 10:15 due to technical difficulties. The conditions had changed to shady during this time lapse."
Magnolia grandiflora,MG01,53.3125,-6.25966666666667,2022-08-13,09:06:07,195.5,22.2,LPS2225,2203604,47.1,21.8,70.5,22.7,W,45.0,Sun flecks,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG01,53.3125,-6.25966666666667,2022-08-14,09:28:21,184.4,23,LPS2225,2203705,46.9,22,71.6,23.6,W,42.0,Sun flecks,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG02,53.3125,-6.25966666666667,2022-08-12,09:21:13,175.6,22.5,LPS2225,2303604,45.5,21.3,70,21,NW,25.0,Full sun,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG02,53.3125,-6.25966666666667,2022-08-13,09:08:57,188,22.2,LPS2225,2203604,46.7,21.8,70.5,22.7,NW,230.0,Sun flecks,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG02,53.3125,-6.25966666666667,2022-08-14,09:30:34,102,22.9,LPS2225,2203705,37.2,17.8,71.6,23.6,NW,53.0,Sun flecks,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG03,53.3125,-6.25966666666667,2022-08-12,09:23:26,142.5,22.4,LPS2225,2303604,42.6,20.5,70,21,NW,22.0,Full sun,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG03,53.3125,-6.25966666666667,2022-08-13,09:11:18,155.6,22,LPS2225,2203604,44,21.1,70.5,22.7,NW,22.0,Sun flecks,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG03,53.3125,-6.25966666666667,2022-08-14,09:32:26,148.4,22.8,LPS2225,2203705,43.6,20.9,71.6,23.6,NW,33.0,Sun flecks,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM01,53.3125555555556,-6.25983333333333,2022-08-12,09:26:58,81.2,22.3,LPS2225,2303604,32.6,15.6,70,20.5,NW,10.0,Full sun,Healthy,"Moved leaf horizontally,PAR retaken at 10:16 due to technical difficulties. The conditions had changed to shady during this time lapse."
Acacia melanoxylon,AM01,53.3125555555556,-6.25983333333333,2022-08-13,09:14:40,51.4,21.9,LPS2225,2203604,24.5,11.3,81.7,20.7,NW,7.0,Sun flecks,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM01,53.3125555555556,-6.25983333333333,2022-08-14,09:35:11,65.6,22.9,LPS2225,2203705,29.6,14.2,78.4,21.5,NW,10.0,Sun flecks,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM02,53.3125555555556,-6.25983333333333,2022-08-12,09:30:32,74,22.2,LPS2225,2303604,30.2,13.8,70,20.5,NW,10.0,Full sun,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM02,53.3125555555556,-6.25983333333333,2022-08-13,09:17:51,74.1,21.6,LPS2225,2203604,30.9,14.6,81.7,20.7,NW,9.0,Sun flecks,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM02,53.3125555555556,-6.25983333333333,2022-08-14,09:37:51,75.9,22.8,LPS2225,2203705,31.8,15.1,78.4,21.5,NW,11.0,Full shade,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM03,53.3125555555556,-6.25983333333333,2022-08-12,09:32:18,73.5,22.3,LPS2225,2303604,30.6,14.4,70.5,20.5,NW,9.0,Full sun,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM03,53.3125555555556,-6.25983333333333,2022-08-13,09:19:50,73.1,21.5,LPS2225,2203604,30.8,14.6,81.7,20.7,NW,8.0,Sun flecks,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM03,53.3125555555556,-6.25983333333333,2022-08-14,09:39:46,82.7,22.8,LPS2225,2203705,34.1,16.8,78.4,21.5,NW,11.0,Sun flecks,Healthy,Moved leaf horizontally
Crataegus monogyna,CM01,53.3124166666667,-6.25936111111111,2022-08-12,09:36:07,88.9,22,LPS2225,2303604,33.8,15.8,66,23.6,SE,10.0,Full sun,Brown flecks on leaf,"Moved leaf horizontally,PAR retaken at 10:19 due to technical difficulties. The conditions had changed to shady during this time lapse."
Crataegus monogyna,CM01,53.3124166666667,-6.25936111111111,2022-08-13,09:23:04,89.2,21.5,LPS2225,2203604,34.1,16.1,74.1,21.5,SE,69.0,Full sun,Brown flecks on leaf,Moved leaf horizontally
